name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
De Perponcherstraat,residential,30,True,False,149.857,188,102,30.0,0.005,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493658
Chasséstraat,residential,30,True,False,63.717,"[189, 2662]",104,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,176612389
Marnixstraat,residential,30,True,False,65.084,"[200, 199]",110,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493624, 7493575]"
"['Prinsestraat', 'Kerkplein']",residential,30,True,False,186.092,"[2112, 2113, 194, 2115, 2116, 2114, 1640, 2665, 1353, 177, 1146, 2111]",106,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7477673, 694317354, 694317355]"
Nobelstraat,residential,30,False,True,66.342,"[1144, 1022]",524,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,4.6,nan,nan,nan,nan,nan,7477696
Prinsestraat,residential,30,True,False,97.286,"[219, 1220]",123,30.0,0.003,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,810257037
Van Swietenstraat,residential,30,True,False,175.743,"[1530, 1531, 197]",108,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493679
Chasséstraat,residential,30,True,False,67.243,"[208, 2185, 198, 1833]",109,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[211377394, 176612389]"
Koningin Emmakade,secondary,50,True,False,24.933,"[201, 951]",111,50.0,0.0,-9999.0,0.0,0.0,,,nan,2,nan,nan,S100,nan,nan,nan,nan,459328811
Koningin Emmakade,secondary,50,True,False,32.66,1512,568,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,S100,nan,nan,nan,nan,459328811
Breedstraat,residential,30,True,False,72.707,203,112,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477624
Snoekstraat,residential,30,True,False,58.474,211,115,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521672
Veenkade,residential,30,True,False,78.47,206,113,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Westerbaenstraat,residential,30,True,False,156.283,207,114,30.0,0.005,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493641
Veenkade,residential,30,True,False,83.745,"[2646, 230]",132,30.0,0.003,0.20294901728630066,0.009637291504586695,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Kalkoenstraat,residential,30,False,True,32.664,"[1556, 221]",125,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477604
Snoekstraat,residential,30,True,False,49.47,"[1136, 1370, 2077, 2469]",550,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521672
Buitenhof,residential,50,False,True,13.922,"[2177, 1963, 2175]",599,50.0,0.0,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,743633617
Buitenhof,residential,50,True,False,46.769,"[2642, 756, 761, 757, 1369, 731]",426,50.0,0.001,-9999.0,0.0,0.0,,,nan,1,nan,nan,nan,nan,nan,nan,nan,653973431
Elandstraat,tertiary,50,False,True,57.106,229,129,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Elandstraat,tertiary,50,False,False,45.157,"[1821, 2355, 2341]",665,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Juffrouw Idastraat,residential,30,False,False,58.184,1145,525,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,916902025
Prinsestraat,residential,30,True,False,48.191,232,134,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,810257037
Kalkoenstraat,residential,30,True,False,39.333,222,124,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521656
Witte de Withstraat,residential,nan,True,False,66.364,"[2818, 223]",126,36.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521687
Roggeveenstraat,residential,30,True,False,222.403,"[283, 2213]",168,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493696
Witte de Withstraat,residential,nan,True,False,59.075,"[209, 941]",498,36.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7493659, 211521687]"
Noordwal,residential,30,True,False,57.388,224,127,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493631
Koningsplein,residential,30,True,False,60.373999999999995,"[1528, 1529, 226, 235]",128,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493382
Koningsplein,residential,30,True,False,16.717,1527,571,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493382
Elandstraat,tertiary,50,False,True,60.106,"[241, 2330, 2735]",140,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Elandplein,residential,30,True,False,38.775000000000006,"[236, 2333]",135,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493673
Veenkade,residential,30,True,False,127.85900000000001,"[682, 970, 2467, 1386]",503,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
1e De Riemerstraat,residential,30,True,False,149.763,"[2050, 262, 2479, 1399, 1560, 1561]",627,30.0,0.005,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521693
Korte Molenstraat,residential,30,False,False,55.252,1774,593,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,379109273
Prinsestraat,residential,30,True,False,53.003,"[245, 2615]",142,30.0,0.002,-9999.0,0.0,1.0,,,nan,nan,nan,3.4,nan,nan,nan,nan,nan,1163938315
Van Diemenstraat,residential,30,True,False,219.487,"[736, 237, 735]",136,30.0,0.007,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493709
Witte de Withstraat,residential,30,True,False,61.866,"[2332, 255]",151,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,1215131333
Noordwal,residential,30,True,False,46.456,"[1157, 1158, 2470, 238, 2557]",137,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[211521663, 7493631]"
Elandstraat,tertiary,50,False,True,66.376,973,506,50.0,0.001,-9999.0,0.0,0.0,,,nan,2,nan,nan,nan,nan,nan,nan,nan,130801720
Elandplein,residential,30,True,False,41.462999999999994,"[1633, 1634, 2331, 239]",139,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493724
Pieterstraat,residential,50,True,False,84.69,"[2612, 244, 2613, 2614]",141,50.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477606
